,product_id,product_name,discounted_price,actual_price,rating,rating_count,main category,sub category,discount_percentage %,quality of product
620,B07QZ3CZ48,"boAt BassHeads 122 Wired Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)",399.0,1290.0,4.2,206.0,Electronics,In-Ear,69.0,excellent
621,B09T3H12GV,"Dell USB Wireless Keyboard and Mouse Set- KM3322W, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty, Black",1399.0,2498.0,4.2,33717.0,Computers&Accessories,Keyboard&MouseSets,44.0,excellent
627,B08YDFX7Y1,"ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless Mouse with up to 1600 DPI, Power Saving Mode, Nano Receiver and Plug & Play Usage - USB",299.0,449.0,3.5,11827.0,Computers&Accessories,Mice,33.0,very good
629,B087FXHB6J,Zebronics Zeb-Companion 107 USB Wireless Keyboard and Mouse Set with Nano Receiver (Black),699.0,999.0,3.5,15295.0,Computers&Accessories,Keyboard&MouseSets,30.0,very good
630,B07N42JB4S,"SYVO WT 3130 Aluminum Tripod (133CM), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All Smart Phones, Gopro, Cameras - Brown",799.0,3990.0,4.3,27139.0,Electronics,Tripods&Monopods,80.0,excellent
631,B0B31BYXQQ,"Boult Audio Airbass Z20 True Wireless, 40H Battery Life, Zen ENC Mic, Type-C Lightning Boult Fast Charging (10Mins=100Mins), BoomX Tech Bass, ENC, IPX5 in Ear Earbuds with mic (Green)",1399.0,5499.0,3.9,9504.0,Electronics,In-Ear,75.0,very good
637,B0846D5CBP,"Casio FX-991ES Plus-2nd Edition Scientific Calculator, Black",1295.0,1295.0,4.5,5760.0,OfficeProducts,Scientific,0.0,excellent
640,B08LPJZSSW,"DIGITEK® (DTR 260 GT) Gorilla Tripod/Mini 33 cm (13 Inch) Tripod for Mobile Phone with Phone Mount & Remote, Flexible Gorilla Stand for DSLR & Action Cameras",399.0,995.0,3.9,21372.0,Electronics,Tripods&Monopods,60.0,very good
643,B08CYPB15D,HP 805 Black Original Ink Cartridge,717.0,761.0,4.0,7199.0,Computers&Accessories,InkjetInkCartridges,6.0,excellent
645,B00MFPCY5C,GIZGA essentials Universal Silicone Keyboard Protector Skin for 15.6-inches Laptop (5 x 6 x 3 inches),39.0,299.0,3.5,15233.0,Computers&Accessories,Keyboard&MiceAccessories,87.0,very good
647,B09NR6G588,"Boult Audio ZCharge Bluetooth Wireless in Ear Earphones with Mic, 40H Playtime and Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling and IPX5 Water Resistant (Black)",1199.0,4999.0,3.8,14961.0,Electronics,In-Ear,76.0,very good
648,B07JPX9CR7,"Dell WM118 Wireless Mouse, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, Pc/Mac/Laptop - Black.",569.0,1299.0,4.4,9275.0,Computers&Accessories,Mice,56.0,excellent
